2020-10-19 18:28:23,910: 't'
2020-10-19 18:28:23,977: 'h'
2020-10-19 18:28:24,188: 'i'
2020-10-19 18:28:24,261: 's'
2020-10-19 18:28:24,331: Key.space
2020-10-19 18:28:24,504: 'i'
2020-10-19 18:28:24,547: 's'
2020-10-19 18:28:24,630: Key.space
2020-10-19 18:28:24,791: 'a'
2020-10-19 18:28:24,869: Key.space
2020-10-19 18:28:25,172: 't'
2020-10-19 18:28:25,245: 'e'
2020-10-19 18:28:25,387: 's'
2020-10-19 18:28:25,460: 't'
2020-10-19 18:28:25,544: Key.space
2020-10-19 18:28:26,279: 'o'
2020-10-19 18:28:26,337: 'f'
2020-10-19 18:28:26,437: Key.space
2020-10-19 18:28:26,588: 't'
2020-10-19 18:28:26,699: 'h'
2020-10-19 18:28:26,786: 'e'
2020-10-19 18:28:26,883: 'y'
2020-10-19 18:28:26,957: Key.space
2020-10-19 18:28:27,711: Key.backspace
2020-10-19 18:28:27,872: Key.backspace
2020-10-19 18:28:28,131: Key.space
2020-10-19 18:28:28,647: 'k'
2020-10-19 18:28:28,715: 'e'
2020-10-19 18:28:28,903: 'y'
2020-10-19 18:28:29,152: 'l'
2020-10-19 18:28:29,347: 'o'
2020-10-19 18:28:29,414: 'g'
2020-10-19 18:28:29,594: 'g'
2020-10-19 18:28:29,826: 'e'
2020-10-19 18:28:29,999: 'r'
2020-10-19 18:28:30,866: Key.alt
2020-10-19 18:28:30,995: Key.tab
2020-10-19 18:28:32,506: Key.ctrl
2020-10-19 18:28:32,692: 'x'
2020-10-19 18:28:34,020: Key.ctrl
2020-10-19 18:28:34,314: 'c'
